"ATIV_SQ_ATIVIDADE","ATIV_CD_ATIVIDADE","ATIV_NM_ATIVIDADE"
"130","C100921","DESCIDA DE COLUNA COM DST CONVENCIONAL"
"131","A100210","DESCIDA DE COLUNA COM DST CONVENCIONAL"
"132","A100220","DESCIDA DE COLUNA COM DST DE ALTO DESEMPENHO"
"133","C100922","DESCIDA DE COLUNA COM DST DE ALTO DESEMPENHO"
"134","A100230","DESCIDA DE COLUNA COM DST LARGE BORE"
"135","C100923","DESCIDA DE COLUNA COM DST LARGE BORE"
"136","C200061","DESCIDA DE VALVULA DE FECHAMENTO DE FUNDO CONVENCIONAL"
"137","R100861","DESCIDA DE VALVULA DE FECHAMENTO DE FUNDO CONVENCIONAL"
"138","C200071","DESCIDA DE VALVULA DE FECHAMENTO DE FUNDO CONVENCIONAL 2"
"139","C200062","DESCIDA DE VALVULA DE FECHAMENTO DE FUNDO DE ALTO DESEMPENHO"
"140","R100862","DESCIDA DE VALVULA DE FECHAMENTO DE FUNDO DE ALTO DESEMPENHO"
"141","C200072","DESCIDA DE VALVULA DE FECHAMENTO DE FUNDO DE ALTO DESEMPENHO 2"
"142","D01280","DESCIDA DO BOP"
"143","D01606","DESCIDA DO BOP"
"144","E01280","DESCIDA DO BOP"
"145","D03080","DESCIDA DO BOP"
"146","D01581","DESCIDA DO BOP"
"147","D01281","DESCIDA DO BOP"
"148","D01280D","DESCIDA DO BOP"
"149","E01581","DESCIDA DO BOP"
"150","E01281","DESCIDA DO BOP"
"151","D01451","DESCIDA DO BOP"
"152","R101420","DESEQUIPAR POCO"
"153","R100962","DISSOCIACAO DE HIDRATO 2"
"154","M100000","DMM"
"155","ABD01000","DMM"
"156","R01000","DMM"
"157","M100010","DMM 2"
"158","R01001","DMM 2"
"159","SER0100","DMM 2"
"160","ABD01005","DMM 2"
"161","M100020","DMM 3"
"162","M100030","DMM 4"
"163","M100040","DMM 5"
"164","M100050","DMM 6"
"165","M300000","DMM E ABANDONO"
"166","D100000","DOCAGEM DA SONDA"
"167","S400000","DURACAO AVALIACAO"
"168","S500000","DURACAO COMPLETACAO"
"169","S500030","DURACAO COMPLETACAO (ANM + TREE CAP)"
"170","S500010","DURACAO COMPLETACAO (ATE TH)"
"171","S500020","DURACAO COMPLETACAO SUPERIOR + AVALIACAO"
"172","S300000","DURACAO PERFURACAO"
"173","S300010","DURACAO PERFURACAO (CONTINUACAO)"
"174","S300020","DURACAO PERFURACAO UBD"
"175","R100900","ENCAMISAR DHSV"
"176","D09100","EQUIPAMENTOS DE COMPLETACAO INFERIOR"
"177","D01010","FASE ABANDONADA"
"178","R101480","FINAL DA OPERACAO"
"179","O100130","FINAL DA OPERACAO"
"180","C200081","FLUXOS E ESTATICAS COM PLANTA DE TESTE CONVENCIONAL"
"181","C100911","FLUXOS E ESTATICAS COM PLANTA DE TESTE CONVENCIONAL"
"182","A100110","FLUXOS E ESTATICAS COM PLANTA DE TESTE CONVENCIONAL"
"183","R100821","FLUXOS E ESTATICAS COM PLANTA DE TESTE CONVENCIONAL"
"184","A100120","FLUXOS E ESTATICAS COM PLANTA DE TESTE DE ALTO DESEMPENHO"
"185","C200082","FLUXOS E ESTATICAS COM PLANTA DE TESTE DE ALTO DESEMPENHO"
"186","C100912","FLUXOS E ESTATICAS COM PLANTA DE TESTE DE ALTO DESEMPENHO"
"187","R100822","FLUXOS E ESTATICAS COM PLANTA DE TESTE DE ALTO DESEMPENHO"
"188","A100130","FLUXOS E ESTATICAS COM PLANTA DE TESTE TOLERANTE A SOLIDOS"
"189","C100913","FLUXOS E ESTATICAS COM PLANTA DE TESTE TOLERANTE A SOLIDOS"
"190","C200083","FLUXOS E ESTATICAS COM PLANTA DE TESTE TOLERANTE A SOLIDOS"
"191","R100823","FLUXOS E ESTATICAS COM PLANTA DE TESTE TOLERANTE A SOLIDOS"
"192","C200084","FLUXOS E ESTATICAS SEM PLANTA DE TESTE"
"193","R100824","FLUXOS E ESTATICAS SEM PLANTA DE TESTE"
"194","R101140","FRAC-PACKING"
"195","R101120","FRATURAMENTO"
"196","A100460","FRATURAMENTO ACIDO"
"197","A100520","FRATURAMENTO ACIDO"
"198","C100120","FRATURAMENTO ACIDO"
"199","A100450","FRATURAMENTO HIDRAULICO"
"200","A100510","FRATURAMENTO HIDRAULICO"
"201","C100110","FRATURAMENTO HIDRAULICO"
"202","R100100","GABARITAGEM DA COP"
"203","R100050","HEAVY WORKOVER PROBABILISTICO"
"204","R100034","HEAVY WORKOVER SEM ESCOPO"
"205","O100090","ICAMENTO"
"206","C200050","INDUCAO DE SURGENCIA"
"207","R100800","INDUCAO DE SURGENCIA"
"208","D03600","INDUCAO DE SURGENCIA"
"209","D03450","INDUCAO DE SURGENCIA"
"210","C200051","INDUCAO DE SURGENCIA COM PLANTA DE TESTE CONVENCIONAL"
"211","R100801","INDUCAO DE SURGENCIA COM PLANTA DE TESTE CONVENCIONAL"
"212","C200052","INDUCAO DE SURGENCIA COM PLANTA DE TESTE DE ALTO DESEMPENHO"
"213","R100802","INDUCAO DE SURGENCIA COM PLANTA DE TESTE DE ALTO DESEMPENHO"
"214","C200053","INDUCAO DE SURGENCIA COM PLANTA DE TESTE TOLERANTE A SOLIDOS"
"215","R100803","INDUCAO DE SURGENCIA COM PLANTA DE TESTE TOLERANTE A SOLIDOS"
"216","R100804","INDUCAO DE SURGENCIA SEM PLANTA DE TESTE"
"217","C200054","INDUCAO DE SURGENCIA SEM PLANTA DE TESTE"
"218","R100110","INSTALACAO BRV"
"219","R100300","INSTALACAO DA ANC"
"220","R100240","INSTALACAO DA ANM"
"221","O100010","INSTALACAO DA BAB"
"222","R100460","INSTALACAO DA BAP"
"223","R100620","INSTALACAO DA BCS"
"224","R100600","INSTALACAO DA BCSS"
"225","R02711","INSTALACAO DA BCSS (CONTINUACAO)"
"226","R101260","INSTALACAO DA CA (GRAVEL  HRWP  FRAC)"
"227","R101280","INSTALACAO DA CAUDA"
"228","R100140","INSTALACAO DA COP"
"229","O100030","INSTALACAO DA ESTACA DE ANCORAGEM"
"230","R100340","INSTALACAO DA TREE CAP"
"231","R02890","INSTALACAO DA TREE CAP"
"232","R100470","INSTALACAO DE BARREIRAS MECANICAS"
"233","R101333","INSTALACAO DE BARREIRAS MECANICAS"
"234","O100200","INSTALACAO DE BASE REASSENTAVEL"
"235","O100201","INSTALACAO DE BASE REASSENTAVEL"
"236","O100202","INSTALACAO DE BASE REASSENTAVEL"
"237","O100203","INSTALACAO DE BASE REASSENTAVEL"
"238","O100204","INSTALACAO DE BASE REASSENTAVEL"
"239","O100205","INSTALACAO DE BASE REASSENTAVEL"
"240","O100206","INSTALACAO DE BASE REASSENTAVEL"
"241","O100207","INSTALACAO DE BASE REASSENTAVEL"
